"128 8 normal", 21, 25, 4, 4, 2, 
"128 8 strassen", 78, 44, 17, 16, 24, 
"128 16 normal", 4, 4, 2, 3, 3, 
"128 16 strassen", 8, 8, 8, 7, 6, 
"128 32 normal", 4, 4, 4, 3, 4, 
"128 32 strassen", 6, 5, 4, 5, 7, 
"128 64 normal", 3, 2, 3, 2, 3, 
"128 64 strassen", 2, 4, 3, 3, 3, 
"256 8 normal", 43, 28, 24, 27, 29, 
"256 8 strassen", 141, 116, 137, 110, 99, 
"256 16 normal", 28, 35, 27, 27, 29, 
"256 16 strassen", 61, 44, 48, 43, 53, 
"256 32 normal", 31, 26, 30, 35, 29, 
"256 32 strassen", 39, 25, 26, 33, 25, 
"256 64 normal", 31, 27, 25, 27, 29, 
"256 64 strassen", 19, 21, 19, 20, 18, 
"256 128 normal", 27, 28, 29, 31, 28, 
"256 128 strassen", 21, 23, 20, 21, 19, 
"512 8 normal", 317, 321, 302, 313, 297, 
"512 8 strassen", 883, 779, 733, 730, 760, 
"512 16 normal", 419, 501, 341, 310, 455, 
"512 16 strassen", 347, 334, 329, 322, 333, 
"512 32 normal", 312, 314, 374, 295, 307, 
"512 32 strassen", 181, 190, 202, 205, 189, 
"512 64 normal", 330, 312, 309, 301, 315, 
"512 64 strassen", 151, 141, 145, 143, 149, 
"512 128 normal", 328, 314, 331, 312, 359, 
"512 128 strassen", 155, 155, 153, 150, 159, 
"1024 8 normal", 4237, 3965, 4343, 4343, 4114, 
"1024 8 strassen", 5274, 5376, 5580, 5900, 5769, 
"1024 16 normal", 4139, 4126, 3997, 3892, 4149, 
"1024 16 strassen", 2496, 2455, 2319, 2486, 2487, 
"1024 32 normal", 4103, 4224, 4030, 4144, 4022, 
"1024 32 strassen", 1331, 1417, 1345, 1417, 1414, 
"1024 64 normal", 4089, 4264, 4181, 4145, 4209, 
"1024 64 strassen", 1092, 1106, 1090, 1051, 1093, 
"1024 128 normal", 4285, 4187, 12808, 4686, 4257, 
"1024 128 strassen", 1074, 1051, 1061, 1083, 1073, 
